"","response.option.id","survey.id","question.id","row.id","row.text","choice.id","response.option.text"
"27","674253054.NA.4431082936",308493823,"674253054",NA,NA,"4431082936","G: Jupiter"
"28","674253054.NA.4431082929",308493823,"674253054",NA,NA,"4431082929","If you observed a judge not listed, identify them below."
"29","674253017.NA.4431082695",308493823,"674253017",NA,NA,"4431082695","Yes"
"30","674253017.NA.4431082702",308493823,"674253017",NA,NA,"4431082702","No"
"31","674253017.NA.4431082910",308493823,"674253017",NA,NA,"4431082910","I'm not sure."
"32","674253033.NA.4431082743",308493823,"674253033",NA,NA,"4431082743","Yes"
"33","674253033.NA.4431082744",308493823,"674253033",NA,NA,"4431082744","No"
"34","674253033.NA.4431082745",308493823,"674253033",NA,NA,"4431082745","I'm not sure."
"35","674253046.NA.4431082859",308493823,"674253046",NA,NA,"4431082859","Yes"
"36","674253046.NA.4431082860",308493823,"674253046",NA,NA,"4431082860","No"
"37","674253046.NA.4431082911",308493823,"674253046",NA,NA,"4431082911","I'm not sure."
"38","674253047.4431082872.",308493823,"674253047","4431082872","Enter the amount of time you waited in hours and minutes. <em>(It doesn't matter whether you choose AM or PM, but Survey Monkey requires you to choose one.)</em>","",""
"39","674253048.NA.",308493823,"674253048",NA,NA,"",""
"40","674253043.NA.4431082822",308493823,"674253043",NA,NA,"4431082822","Yes"
"41","674253043.NA.4431082823",308493823,"674253043",NA,NA,"4431082823","No"
"42","674253043.NA.4431082824",308493823,"674253043",NA,NA,"4431082824","I'm not sure."
"43","674253040.NA.4431082794",308493823,"674253040",NA,NA,"4431082794","YES, I observed the entire court session."
"44","674253040.NA.4431082795",308493823,"674253040",NA,NA,"4431082795","NO, I didn't observe the end of court."
"45","674253040.NA.4431082875",308493823,"674253040",NA,NA,"4431082875","I'm not sure."
"46","674253018.NA.4431082640",308493823,"674253018",NA,NA,"4431082640","No, court started EARLY."
"47","674253018.NA.4431082641",308493823,"674253018",NA,NA,"4431082641","Yes, court started when it's scheduled to start."
"48","674253018.NA.4431082642",308493823,"674253018",NA,NA,"4431082642","No, court started LATE."
"49","674253018.NA.4431082876",308493823,"674253018",NA,NA,"4431082876","I'm not sure."
"50","674253045.4431082858.",308493823,"674253045","4431082858","Enter how much time elapsed between when court was scheduled to begin and when it actually began, in hours and minutes. <em>(It doesn't matter whether you choose AM or PM, but Survey Monkey requires you to choose one.)</em>","",""
"51","674253019.NA.4431082873",308493823,"674253019",NA,NA,"4431082873","No"
"52","674253019.NA.4431082703",308493823,"674253019",NA,NA,"4431082703","If YES, what did the Judge say?"
"53","674253053.NA.",308493823,"674253053",NA,NA,"",""
"54","674253049.NA.4431082878",308493823,"674253049",NA,NA,"4431082878","No"
"55","674253049.NA.4431082879",308493823,"674253049",NA,NA,"4431082879","YES, a defense attorney was held in contempt."
"56","674253049.NA.4431082880",308493823,"674253049",NA,NA,"4431082880","YES, a prosecutor was held in contempt."
"57","674253049.NA.4431082881",308493823,"674253049",NA,NA,"4431082881","I'm not sure."
"58","674253049.NA.4431082882",308493823,"674253049",NA,NA,"4431082882","If YES, explain what happened."
"59","674253057.NA.4431082954",308493823,"674253057",NA,NA,"4431082954","Yes"
"60","674253057.NA.4431082955",308493823,"674253057",NA,NA,"4431082955","No"
"61","674253057.NA.4431082956",308493823,"674253057",NA,NA,"4431082956","I'm not sure."
"62","674253057.NA.4431082957",308493823,"674253057",NA,NA,"4431082957","Comments <em>(optional)</em>"
"63","674253058.NA.4431082962",308493823,"674253058",NA,NA,"4431082962","Yes"
"64","674253058.NA.4431082963",308493823,"674253058",NA,NA,"4431082963","No"
"65","674253058.NA.4431082964",308493823,"674253058",NA,NA,"4431082964","I'm not sure."
"66","674253035.NA.4431082753",308493823,"674253035",NA,NA,"4431082753","Yes"
"67","674253035.NA.4431082754",308493823,"674253035",NA,NA,"4431082754","No"
"68","674253035.NA.4431082939",308493823,"674253035",NA,NA,"4431082939","I'm not sure."
"69","674253035.NA.4431082940",308493823,"674253035",NA,NA,"4431082940","Comments <em>(optional)</em>"
"70","674253014.NA.",308493823,"674253014",NA,NA,"",""
"71","674253020.NA.",308493823,"674253020",NA,NA,"",""
"72","674253021.NA.",308493823,"674253021",NA,NA,"",""
"73","674253022.NA.",308493823,"674253022",NA,NA,"",""
"74","674253055.4431082942.",308493823,"674253055","4431082942","How many warrants does the defendant have?","",""
"75","674253055.4431082943.",308493823,"674253055","4431082943","Write the year in which the defendant's oldest warrant was issued.","",""
"76","674253056.NA.",308493823,"674253056",NA,NA,"",""
"77","674253023.NA.4431082723",308493823,"674253023",NA,NA,"4431082723","Yes"
"78","674253023.NA.4431082724",308493823,"674253023",NA,NA,"4431082724","No"
"79","674253023.NA.4431082941",308493823,"674253023",NA,NA,"4431082941","I'm not sure."
"80","674253026.NA.4431082649",308493823,"674253026",NA,NA,"4431082649","Black or African American"
"81","674253026.NA.4431082650",308493823,"674253026",NA,NA,"4431082650","Asian or Pacific Islander"
"82","674253026.NA.4431082651",308493823,"674253026",NA,NA,"4431082651","White or Caucasian"
"83","674253026.NA.4431082652",308493823,"674253026",NA,NA,"4431082652","Hispanic or Latinx"
"84","674253026.NA.4431082801",308493823,"674253026",NA,NA,"4431082801","Bi-racial or Multi-racial"
"85","674253026.NA.4431082653",308493823,"674253026",NA,NA,"4431082653","Other <em>(specify)</em>"
"86","674253027.NA.4431082687",308493823,"674253027",NA,NA,"4431082687","Feminine-presenting"
"87","674253027.NA.4431082688",308493823,"674253027",NA,NA,"4431082688","Masculine-presenting"
"88","674253027.NA.4431082802",308493823,"674253027",NA,NA,"4431082802","Non-conforming or non-binary"
"89","674253027.NA.4431082803",308493823,"674253027",NA,NA,"4431082803","Unknown or unlisted gender"
"90","674253027.NA.4431082689",308493823,"674253027",NA,NA,"4431082689","Other <em>(specify)</em>"
"91","674253050.NA.4431082887",308493823,"674253050",NA,NA,"4431082887","No"
"92","674253050.NA.4431082888",308493823,"674253050",NA,NA,"4431082888","I'm not sure."
"93","674253050.NA.4431082953",308493823,"674253050",NA,NA,"4431082953","If YES, did all court actors refer to the defendant as requested? Explain."
"94","674253062.NA.4431082990",308493823,"674253062",NA,NA,"4431082990","State or Assistant District Attorney"
"95","674253062.NA.4431082991",308493823,"674253062",NA,NA,"4431082991","City or Assistant City Attorney"
"96","674253062.NA.4431082992",308493823,"674253062",NA,NA,"4431082992","Both State and City"
"97","674253062.NA.4431082993",308493823,"674253062",NA,NA,"4431082993","I'm not sure."
"98","674253025.NA.4431082682",308493823,"674253025",NA,NA,"4431082682","Orleans Public Defenders"
"99","674253025.NA.4431082683",308493823,"674253025",NA,NA,"4431082683","Private attorney(s)"
"100","674253025.NA.4431082684",308493823,"674253025",NA,NA,"4431082684","The defendant was unrepresented."
"101","674253025.NA.4431082895",308493823,"674253025",NA,NA,"4431082895","The defendant said they intended to self-represent."
"102","674253025.NA.4431082757",308493823,"674253025",NA,NA,"4431082757","I'm not sure."
"103","674253034.NA.4431082750",308493823,"674253034",NA,NA,"4431082750","Yes"
"104","674253034.NA.4431082877",308493823,"674253034",NA,NA,"4431082877","No"
"105","674253034.NA.4431082800",308493823,"674253034",NA,NA,"4431082800","I'm not sure."
"106","674253034.NA.4431082968",308493823,"674253034",NA,NA,"4431082968","If YES, what was the defendant held in contempt for?"
"107","674253024.NA.4431082807",308493823,"674253024",NA,NA,"4431082807","unemployed or receiving SSI"
"108","674253024.NA.4431082808",308493823,"674253024",NA,NA,"4431082808","part-time job"
"109","674253024.NA.4431082809",308493823,"674253024",NA,NA,"4431082809","full-time job"
"110","674253024.NA.4431082810",308493823,"674253024",NA,NA,"4431082810","NO income information was presented."
"111","674253024.NA.4431082893",308493823,"674253024",NA,NA,"4431082893","I'm not sure."
"112","674253024.NA.4431082811",308493823,"674253024",NA,NA,"4431082811","Other <em>(please specify)</em>"
"113","674253042.NA.4431082812",308493823,"674253042",NA,NA,"4431082812","The defendant is homeless."
"114","674253042.NA.4431082813",308493823,"674253042",NA,NA,"4431082813","The defendant has a stable place to live."
"115","674253042.NA.4431082814",308493823,"674253042",NA,NA,"4431082814","The defendant has a temporary place to stay."
"116","674253042.NA.4431082894",308493823,"674253042",NA,NA,"4431082894","NO housing information was presented."
"117","674253042.NA.4431082815",308493823,"674253042",NA,NA,"4431082815","I'm not sure."
"118","674253042.NA.4431082816",308493823,"674253042",NA,NA,"4431082816","Other <em>(please explain)</em>"
"119","674253028.NA.4431082969",308493823,"674253028",NA,NA,"4431082969","Yes"
"120","674253028.NA.4431082970",308493823,"674253028",NA,NA,"4431082970","No"
"121","674253028.NA.4431082971",308493823,"674253028",NA,NA,"4431082971","Explain."
"122","674253052.NA.4431082896",308493823,"674253052",NA,NA,"4431082896","No"
"123","674253052.NA.4431082972",308493823,"674253052",NA,NA,"4431082972","YES, the Judge found that there was no probable cause on all charges and ordered the release of the defendant."
"124","674253052.NA.4431082973",308493823,"674253052",NA,NA,"4431082973","YES, the City prosecutor dismissed (aka <em>nolle prossed</em>) all charges."
"125","674253052.NA.4431082974",308493823,"674253052",NA,NA,"4431082974","I'm not sure."
"126","674253052.NA.4431082905",308493823,"674253052",NA,NA,"4431082905","Comments <em>(optional)</em>"
"127","674253051.NA.",308493823,"674253051",NA,NA,"",""
"128","674253036.NA.",308493823,"674253036",NA,NA,"",""
"129","674253037.NA.",308493823,"674253037",NA,NA,"",""
"130","674253039.NA.4431082782",308493823,"674253039",NA,NA,"4431082782","I'm not sure. "
"131","674253039.NA.4431082914",308493823,"674253039",NA,NA,"4431082914","The Court released the defendant on their own recognizance (ROR)."
"132","674253039.NA.4431082783",308493823,"674253039",NA,NA,"4431082783","Cash bond"
"133","674253039.NA.4431082784",308493823,"674253039",NA,NA,"4431082784","Surety bond"
"134","674253039.NA.4431082899",308493823,"674253039",NA,NA,"4431082899","If the defendant was ordered to <strong>remain in jail without bond</strong>, explain why."
"135","674253029.NA.",308493823,"674253029",NA,NA,"",""
"136","674253038.NA.4431082776",308493823,"674253038",NA,NA,"4431082776","Yes"
"137","674253038.NA.4431082777",308493823,"674253038",NA,NA,"4431082777","No"
"138","674253038.NA.4431082778",308493823,"674253038",NA,NA,"4431082778","N/A - no money bail was ordered."
"139","674253038.NA.4431082779",308493823,"674253038",NA,NA,"4431082779","I'm not sure."
"140","674253030.NA.4431082708",308493823,"674253030",NA,NA,"4431082708","Protective or stay-away order"
"141","674253030.NA.4431082709",308493823,"674253030",NA,NA,"4431082709","Prohibition from possessing a firearm"
"142","674253030.NA.4431082900",308493823,"674253030",NA,NA,"4431082900","Domestic violence counseling"
"143","674253030.NA.4431082710",308493823,"674253030",NA,NA,"4431082710","Ankle monitor"
"144","674253030.NA.4431082711",308493823,"674253030",NA,NA,"4431082711","Job or school application or enrollment"
"145","674253030.NA.4431082712",308493823,"674253030",NA,NA,"4431082712","Mental health treatment"
"146","674253030.NA.4431082901",308493823,"674253030",NA,NA,"4431082901","Drug test"
"147","674253030.NA.4431082713",308493823,"674253030",NA,NA,"4431082713","Drug or alcohol program"
"148","674253030.NA.4431082714",308493823,"674253030",NA,NA,"4431082714","NO non-financial conditions on the bond were ordered by the Court"
"149","674253030.NA.4431082902",308493823,"674253030",NA,NA,"4431082902","I'm not sure."
"150","674253030.NA.4431082720",308493823,"674253030",NA,NA,"4431082720","Other<em> (explain)</em>"
"151","674253059.NA.4431082975",308493823,"674253059",NA,NA,"4431082975","N/A - the defendant was not assessed fines or fees."
"152","674253059.NA.4431082976",308493823,"674253059",NA,NA,"4431082976","No"
"153","674253059.NA.4431082977",308493823,"674253059",NA,NA,"4431082977","I'm not sure."
"154","674253059.NA.4431083131",308493823,"674253059",NA,NA,"4431083131","If yes, how much were the fines and fees total?"
"155","674253060.4431082980.",308493823,"674253060","4431082980","# of Community Service Hours","",""
"156","674253060.4431082981.",308493823,"674253060","4431082981","Amount of Fines or Fees","",""
"157","674253060.4431082982.",308493823,"674253060","4431082982","Jail Time","",""
"158","674253031.NA.",308493823,"674253031",NA,NA,"",""
"159","674253032.NA.4431082738",308493823,"674253032",NA,NA,"4431082738","Yes"
"160","674253032.NA.4431082739",308493823,"674253032",NA,NA,"4431082739","No"
"161","674253079.NA.",308493823,"674253079",NA,NA,"",""
"162","674253080.NA.",308493823,"674253080",NA,NA,"",""
"163","674253081.NA.",308493823,"674253081",NA,NA,"",""
"164","674253082.4431083116.",308493823,"674253082","4431083116","How many warrants does the defendant have?","",""
"165","674253082.4431083117.",308493823,"674253082","4431083117","Write the year in which the defendant's oldest warrant was issued.","",""
"166","674253083.NA.",308493823,"674253083",NA,NA,"",""
"167","674253084.NA.4431083124",308493823,"674253084",NA,NA,"4431083124","Yes"
"168","674253084.NA.4431083125",308493823,"674253084",NA,NA,"4431083125","No"
"169","674253084.NA.4431083127",308493823,"674253084",NA,NA,"4431083127","I'm not sure."
"170","674253085.NA.4431083135",308493823,"674253085",NA,NA,"4431083135","Black or African American"
"171","674253085.NA.4431083136",308493823,"674253085",NA,NA,"4431083136","Asian or Pacific Islander"
"172","674253085.NA.4431083137",308493823,"674253085",NA,NA,"4431083137","White or Caucasian"
"173","674253085.NA.4431083138",308493823,"674253085",NA,NA,"4431083138","Hispanic or Latinx"
"174","674253085.NA.4431083145",308493823,"674253085",NA,NA,"4431083145","Bi-racial or Multi-racial"
"175","674253085.NA.4431083139",308493823,"674253085",NA,NA,"4431083139","Other <em>(specify)</em>"
"176","674253086.NA.4431083146",308493823,"674253086",NA,NA,"4431083146","Feminine-presenting"
"177","674253086.NA.4431083147",308493823,"674253086",NA,NA,"4431083147","Masculine-presenting"
"178","674253086.NA.4431083154",308493823,"674253086",NA,NA,"4431083154","Non-conforming or non-binary"
"179","674253086.NA.4431083155",308493823,"674253086",NA,NA,"4431083155","Unknown or unlisted gender"
"180","674253086.NA.4431083148",308493823,"674253086",NA,NA,"4431083148","Other <em>(specify)</em>"
"181","674253087.NA.4431083162",308493823,"674253087",NA,NA,"4431083162","No"
"182","674253087.NA.4431083163",308493823,"674253087",NA,NA,"4431083163","I'm not sure."
"183","674253087.NA.4431083161",308493823,"674253087",NA,NA,"4431083161","If YES, did all court actors refer to the defendant as requested? Explain."
"184","674253088.NA.4431083164",308493823,"674253088",NA,NA,"4431083164","State or Assistant District Attorney"
"185","674253088.NA.4431083165",308493823,"674253088",NA,NA,"4431083165","City or Assistant City Attorney"
"186","674253088.NA.4431083166",308493823,"674253088",NA,NA,"4431083166","Both State and City"
"187","674253088.NA.4431083167",308493823,"674253088",NA,NA,"4431083167","I'm not sure."
"188","674253089.NA.4431083170",308493823,"674253089",NA,NA,"4431083170","Orleans Public Defenders"
"189","674253089.NA.4431083171",308493823,"674253089",NA,NA,"4431083171","Private attorney(s)"
"190","674253089.NA.4431083172",308493823,"674253089",NA,NA,"4431083172","The defendant was unrepresented."
"191","674253089.NA.4431083176",308493823,"674253089",NA,NA,"4431083176","The defendant said they intended to self-represent."
"192","674253089.NA.4431083175",308493823,"674253089",NA,NA,"4431083175","I'm not sure."
"193","674253090.NA.4431083185",308493823,"674253090",NA,NA,"4431083185","Yes"
"194","674253090.NA.4431083180",308493823,"674253090",NA,NA,"4431083180","No"
"195","674253090.NA.4431083179",308493823,"674253090",NA,NA,"4431083179","I'm not sure."
"196","674253090.NA.4431083184",308493823,"674253090",NA,NA,"4431083184","If YES, what was the defendant held in contempt for?"
"197","674253091.NA.4431083191",308493823,"674253091",NA,NA,"4431083191","unemployed or receiving SSI"
"198","674253091.NA.4431083192",308493823,"674253091",NA,NA,"4431083192","part-time job"
"199","674253091.NA.4431083193",308493823,"674253091",NA,NA,"4431083193","full-time job"
"200","674253091.NA.4431083194",308493823,"674253091",NA,NA,"4431083194","NO income information was presented."
"201","674253091.NA.4431083196",308493823,"674253091",NA,NA,"4431083196","I'm not sure."
"202","674253091.NA.4431083195",308493823,"674253091",NA,NA,"4431083195","Other <em>(please specify)</em>"
"203","674253092.NA.4431083197",308493823,"674253092",NA,NA,"4431083197","The defendant is homeless."
"204","674253092.NA.4431083198",308493823,"674253092",NA,NA,"4431083198","The defendant has a stable place to live."
"205","674253092.NA.4431083199",308493823,"674253092",NA,NA,"4431083199","The defendant has a temporary place to stay."
"206","674253092.NA.4431083207",308493823,"674253092",NA,NA,"4431083207","NO housing information was presented."
"207","674253092.NA.4431083200",308493823,"674253092",NA,NA,"4431083200","I'm not sure."
"208","674253092.NA.4431083201",308493823,"674253092",NA,NA,"4431083201","Other <em>(please explain)</em>"
"209","674253093.NA.4431083217",308493823,"674253093",NA,NA,"4431083217","Yes"
"210","674253093.NA.4431083218",308493823,"674253093",NA,NA,"4431083218","No"
"211","674253093.NA.4431083219",308493823,"674253093",NA,NA,"4431083219","Explain."
"212","674253094.NA.4431083220",308493823,"674253094",NA,NA,"4431083220","No"
"213","674253094.NA.4431083226",308493823,"674253094",NA,NA,"4431083226","YES, the Judge found that there was no probable cause on all charges and ordered the release of the defendant."
"214","674253094.NA.4431083227",308493823,"674253094",NA,NA,"4431083227","YES, the City prosecutor dismissed (aka <em>nolle prossed</em>) all charges."
"215","674253094.NA.4431083228",308493823,"674253094",NA,NA,"4431083228","I'm not sure."
"216","674253094.NA.4431083229",308493823,"674253094",NA,NA,"4431083229","Comments <em>(optional)</em>"
"217","674253335.NA.",308493823,"674253335",NA,NA,"",""
"218","674253336.NA.",308493823,"674253336",NA,NA,"",""
"219","674253337.NA.",308493823,"674253337",NA,NA,"",""
"220","674253338.NA.4431084971",308493823,"674253338",NA,NA,"4431084971","I'm not sure. "
"221","674253338.NA.4431084980",308493823,"674253338",NA,NA,"4431084980","The Court released the defendant on their own recognizance (ROR)."
"222","674253338.NA.4431084972",308493823,"674253338",NA,NA,"4431084972","Cash bond"
"223","674253338.NA.4431084973",308493823,"674253338",NA,NA,"4431084973","Surety bond"
"224","674253338.NA.4431084978",308493823,"674253338",NA,NA,"4431084978","If the defendant was ordered to <strong>remain in jail without bond</strong>, explain why."
"225","674253339.NA.",308493823,"674253339",NA,NA,"",""
"226","674253340.NA.4431084983",308493823,"674253340",NA,NA,"4431084983","Yes"
"227","674253340.NA.4431084984",308493823,"674253340",NA,NA,"4431084984","No"
"228","674253340.NA.4431084985",308493823,"674253340",NA,NA,"4431084985","N/A - no money bail was ordered."
"229","674253340.NA.4431084986",308493823,"674253340",NA,NA,"4431084986","I'm not sure."
"230","674253341.NA.4431084989",308493823,"674253341",NA,NA,"4431084989","Protective or stay-away order"
"231","674253341.NA.4431084990",308493823,"674253341",NA,NA,"4431084990","Prohibition from possessing a firearm"
"232","674253341.NA.4431085002",308493823,"674253341",NA,NA,"4431085002","Domestic violence counseling"
"233","674253341.NA.4431084991",308493823,"674253341",NA,NA,"4431084991","Ankle monitor"
"234","674253341.NA.4431084992",308493823,"674253341",NA,NA,"4431084992","Job or school application or enrollment"
"235","674253341.NA.4431084993",308493823,"674253341",NA,NA,"4431084993","Mental health treatment"
"236","674253341.NA.4431085003",308493823,"674253341",NA,NA,"4431085003","Drug test"
"237","674253341.NA.4431084994",308493823,"674253341",NA,NA,"4431084994","Drug or alcohol program"
"238","674253341.NA.4431084995",308493823,"674253341",NA,NA,"4431084995","NO non-financial conditions on the bond were ordered by the Court"
"239","674253341.NA.4431085004",308493823,"674253341",NA,NA,"4431085004","I'm not sure."
"240","674253341.NA.4431085001",308493823,"674253341",NA,NA,"4431085001","Other<em> (explain)</em>"
"241","674253342.NA.4431085007",308493823,"674253342",NA,NA,"4431085007","N/A - the defendant was not assessed fines or fees."
"242","674253342.NA.4431085008",308493823,"674253342",NA,NA,"4431085008","No"
"243","674253342.NA.4431085009",308493823,"674253342",NA,NA,"4431085009","I'm not sure."
"244","674253342.NA.4431085140",308493823,"674253342",NA,NA,"4431085140","If yes, how much were the fines and fees total?"
"245","674253343.4431085010.",308493823,"674253343","4431085010","# of Community Service Hours","",""
"246","674253343.4431085011.",308493823,"674253343","4431085011","Amount of Fines or Fees","",""
"247","674253343.4431085012.",308493823,"674253343","4431085012","Jail Time","",""
"248","674253480.NA.",308493823,"674253480",NA,NA,"",""
"249","674253481.NA.4431086024",308493823,"674253481",NA,NA,"4431086024","Yes"
"250","674253481.NA.4431086025",308493823,"674253481",NA,NA,"4431086025","No"
"251","674253095.NA.",308493823,"674253095",NA,NA,"",""
"252","674253096.NA.",308493823,"674253096",NA,NA,"",""
"253","674253097.NA.",308493823,"674253097",NA,NA,"",""
"254","674253098.4431083236.",308493823,"674253098","4431083236","How many warrants does the defendant have?","",""
"255","674253098.4431083237.",308493823,"674253098","4431083237","Write the year in which the defendant's oldest warrant was issued.","",""
"256","674253099.NA.",308493823,"674253099",NA,NA,"",""
"257","674253100.NA.4431083244",308493823,"674253100",NA,NA,"4431083244","Yes"
"258","674253100.NA.4431083245",308493823,"674253100",NA,NA,"4431083245","No"
"259","674253100.NA.4431083248",308493823,"674253100",NA,NA,"4431083248","I'm not sure."
"260","674253101.NA.4431083249",308493823,"674253101",NA,NA,"4431083249","Black or African American"
"261","674253101.NA.4431083250",308493823,"674253101",NA,NA,"4431083250","Asian or Pacific Islander"
"262","674253101.NA.4431083251",308493823,"674253101",NA,NA,"4431083251","White or Caucasian"
"263","674253101.NA.4431083252",308493823,"674253101",NA,NA,"4431083252","Hispanic or Latinx"
"264","674253101.NA.4431083259",308493823,"674253101",NA,NA,"4431083259","Bi-racial or Multi-racial"
"265","674253101.NA.4431083253",308493823,"674253101",NA,NA,"4431083253","Other <em>(specify)</em>"
"266","674253102.NA.4431083260",308493823,"674253102",NA,NA,"4431083260","Feminine-presenting"
"267","674253102.NA.4431083261",308493823,"674253102",NA,NA,"4431083261","Masculine-presenting"
"268","674253102.NA.4431083268",308493823,"674253102",NA,NA,"4431083268","Non-conforming or non-binary"
"269","674253102.NA.4431083269",308493823,"674253102",NA,NA,"4431083269","Unknown or unlisted gender"
"270","674253102.NA.4431083262",308493823,"674253102",NA,NA,"4431083262","Other <em>(specify)</em>"
"271","674253103.NA.4431083276",308493823,"674253103",NA,NA,"4431083276","No"
"272","674253103.NA.4431083277",308493823,"674253103",NA,NA,"4431083277","I'm not sure."
"273","674253103.NA.4431083275",308493823,"674253103",NA,NA,"4431083275","If YES, did all court actors refer to the defendant as requested? Explain."
"274","674253104.NA.4431083278",308493823,"674253104",NA,NA,"4431083278","State or Assistant District Attorney"
"275","674253104.NA.4431083279",308493823,"674253104",NA,NA,"4431083279","City or Assistant City Attorney"
"276","674253104.NA.4431083280",308493823,"674253104",NA,NA,"4431083280","Both State and City"
"277","674253104.NA.4431083281",308493823,"674253104",NA,NA,"4431083281","I'm not sure."
"278","674253105.NA.4431083284",308493823,"674253105",NA,NA,"4431083284","Orleans Public Defenders"
"279","674253105.NA.4431083285",308493823,"674253105",NA,NA,"4431083285","Private attorney(s)"
"280","674253105.NA.4431083286",308493823,"674253105",NA,NA,"4431083286","The defendant was unrepresented."
"281","674253105.NA.4431083290",308493823,"674253105",NA,NA,"4431083290","The defendant said they intended to self-represent."
"282","674253105.NA.4431083289",308493823,"674253105",NA,NA,"4431083289","I'm not sure."
"283","674253106.NA.4431083299",308493823,"674253106",NA,NA,"4431083299","Yes"
"284","674253106.NA.4431083294",308493823,"674253106",NA,NA,"4431083294","No"
"285","674253106.NA.4431083293",308493823,"674253106",NA,NA,"4431083293","I'm not sure."
"286","674253106.NA.4431083298",308493823,"674253106",NA,NA,"4431083298","If YES, what was the defendant held in contempt for?"
"287","674253107.NA.4431083305",308493823,"674253107",NA,NA,"4431083305","unemployed or receiving SSI"
"288","674253107.NA.4431083306",308493823,"674253107",NA,NA,"4431083306","part-time job"
"289","674253107.NA.4431083307",308493823,"674253107",NA,NA,"4431083307","full-time job"
"290","674253107.NA.4431083308",308493823,"674253107",NA,NA,"4431083308","NO income information was presented."
"291","674253107.NA.4431083310",308493823,"674253107",NA,NA,"4431083310","I'm not sure."
"292","674253107.NA.4431083309",308493823,"674253107",NA,NA,"4431083309","Other <em>(please specify)</em>"
"293","674253108.NA.4431083311",308493823,"674253108",NA,NA,"4431083311","The defendant is homeless."
"294","674253108.NA.4431083312",308493823,"674253108",NA,NA,"4431083312","The defendant has a stable place to live."
"295","674253108.NA.4431083313",308493823,"674253108",NA,NA,"4431083313","The defendant has a temporary place to stay."
"296","674253108.NA.4431083321",308493823,"674253108",NA,NA,"4431083321","NO housing information was presented."
"297","674253108.NA.4431083314",308493823,"674253108",NA,NA,"4431083314","I'm not sure."
"298","674253108.NA.4431083315",308493823,"674253108",NA,NA,"4431083315","Other <em>(please explain)</em>"
"299","674253109.NA.4431083331",308493823,"674253109",NA,NA,"4431083331","Yes"
"300","674253109.NA.4431083332",308493823,"674253109",NA,NA,"4431083332","No"
"301","674253109.NA.4431083333",308493823,"674253109",NA,NA,"4431083333","Explain."
"302","674253110.NA.4431083334",308493823,"674253110",NA,NA,"4431083334","No"
"303","674253110.NA.4431083340",308493823,"674253110",NA,NA,"4431083340","YES, the Judge found that there was no probable cause on all charges and ordered the release of the defendant."
"304","674253110.NA.4431083341",308493823,"674253110",NA,NA,"4431083341","YES, the City prosecutor dismissed (aka <em>nolle prossed</em>) all charges."
"305","674253110.NA.4431083342",308493823,"674253110",NA,NA,"4431083342","I'm not sure."
"306","674253110.NA.4431083343",308493823,"674253110",NA,NA,"4431083343","Comments <em>(optional)</em>"
